participant,group,condition,roi,bca_uv
A08,Group_A,Negative Valence,LOT,0.172489
A08,Group_A,Negative Valence,ROT,0.383982
A08,Group_A,Neutral Angry,LOT,0.241337
A08,Group_A,Neutral Angry,ROT,0.470058
A09,Group_A,Positive Valence,LOT,-0.113890
A09,Group_A,Positive Valence,ROT,-0.022470
A09,Group_A,Negative Valence,LOT,-0.108960
A09,Group_A,Negative Valence,ROT,0.084004
A09,Group_A,Neutral Angry,LOT,0.225406
A09,Group_A,Neutral Angry,ROT,0.270127
A10,Group_A,Positive Valence,LOT,0.204783
A10,Group_A,Positive Valence,ROT,0.118670
A10,Group_A,Negative Valence,LOT,0.232015
A10,Group_A,Negative Valence,ROT,0.232343
A10,Group_A,Neutral Angry,LOT,0.339563
A10,Group_A,Neutral Angry,ROT,0.410728
A11,Group_A,Positive Valence,LOT,0.067225
A11,Group_A,Positive Valence,ROT,0.000373
A11,Group_A,Negative Valence,LOT,0.163216
A11,Group_A,Negative Valence,ROT,0.122765
A11,Group_A,Neutral Angry,LOT,0.424566
A11,Group_A,Neutral Angry,ROT,0.473666
A12,Group_A,Positive Valence,LOT,0.307612
A12,Group_A,Positive Valence,ROT,0.175608
A12,Group_A,Negative Valence,LOT,0.323353
A12,Group_A,Negative Valence,ROT,0.334350
A12,Group_A,Neutral Angry,LOT,0.428275
A12,Group_A,Neutral Angry,ROT,0.604884
A13,Group_A,Positive Valence,LOT,0.230840
A13,Group_A,Positive Valence,ROT,0.057551
A13,Group_A,Negative Valence,LOT,0.198662
A13,Group_A,Negative Valence,ROT,0.355783
A13,Group_A,Neutral Angry,LOT,0.400632
A13,Group_A,Neutral Angry,ROT,0.485129
A14,Group_A,Positive Valence,LOT,0.185263
A14,Group_A,Positive Valence,ROT,0.226104
A14,Group_A,Negative Valence,LOT,0.150508
A14,Group_A,Negative Valence,ROT,0.310912
A14,Group_A,Neutral Angry,LOT,0.313311
A14,Group_A,Neutral Angry,ROT,0.357470
A15,Group_A,Positive Valence,LOT,-0.013605
A15,Group_A,Positive Valence,ROT,0.141631
A15,Group_A,Negative Valence,LOT,0.263717
A15,Group_A,Negative Valence,ROT,0.293511
A15,Group_A,Neutral Angry,LOT,0.373811
A15,Group_A,Neutral Angry,ROT,0.482618
A16,Group_A,Positive Valence,LOT,0.125045
A16,Group_A,Positive Valence,ROT,0.213367
A16,Group_A,Negative Valence,LOT,0.110010
A16,Group_A,Negative Valence,ROT,0.233669
A16,Group_A,Neutral Angry,LOT,0.219666
A16,Group_A,Neutral Angry,ROT,0.406290
A17,Group_A,Positive Valence,LOT,0.005887
A17,Group_A,Positive Valence,ROT,-0.077748
A17,Group_A,Negative Valence,LOT,0.168787
A17,Group_A,Negative Valence,ROT,0.351008
A17,Group_A,Neutral Angry,LOT,0.385897
A17,Group_A,Neutral Angry,ROT,0.553443
A18,Group_A,Positive Valence,LOT,0.053776
A18,Group_A,Positive Valence,ROT,0.067659
A18,Group_A,Negative Valence,LOT,0.059360
A18,Group_A,Negative Valence,ROT,0.292485
A18,Group_A,Neutral Angry,LOT,0.297729
A18,Group_A,Neutral Angry,ROT,0.617097
A19,Group_A,Positive Valence,LOT,-0.086779
A19,Group_A,Positive Valence,ROT,0.013852
A19,Group_A,Negative Valence,LOT,-0.004063
A19,Group_A,Negative Valence,ROT,0.083662
A19,Group_A,Neutral Angry,LOT,0.191704
A19,Group_A,Neutral Angry,ROT,0.397745
A20,Group_A,Positive Valence,LOT,0.225392
A20,Group_A,Positive Valence,ROT,0.298385
A20,Group_A,Negative Valence,LOT,0.294003
A20,Group_A,Negative Valence,ROT,0.495395
A20,Group_A,Neutral Angry,LOT,0.494405
A20,Group_A,Neutral Angry,ROT,0.714282
A21,Group_A,Positive Valence,LOT,0.137256
A21,Group_A,Positive Valence,ROT,0.189736
A21,Group_A,Negative Valence,LOT,0.149884
A21,Group_A,Negative Valence,ROT,0.138606
A21,Group_A,Neutral Angry,LOT,0.376050
A21,Group_A,Neutral Angry,ROT,0.391440
A22,Group_A,Positive Valence,LOT,0.145261
A22,Group_A,Positive Valence,ROT,0.081244
A22,Group_A,Negative Valence,LOT,0.097030
A22,Group_A,Negative Valence,ROT,0.222566
A22,Group_A,Neutral Angry,LOT,0.395343
A22,Group_A,Neutral Angry,ROT,0.406064
A23,Group_A,Positive Valence,LOT,0.066634
A23,Group_A,Positive Valence,ROT,0.017111
A23,Group_A,Negative Valence,LOT,0.176670
A23,Group_A,Negative Valence,ROT,0.438649
A23,Group_A,Neutral Angry,LOT,0.335322
A23,Group_A,Neutral Angry,ROT,0.308888
A24,Group_A,Positive Valence,LOT,0.119674
A24,Group_A,Positive Valence,ROT,0.181977
A24,Group_A,Negative Valence,LOT,0.080614
A24,Group_A,Negative Valence,ROT,0.305908
A24,Group_A,Neutral Angry,LOT,0.321690
A24,Group_A,Neutral Angry,ROT,0.565871
A25,Group_A,Positive Valence,LOT,0.041365
A25,Group_A,Positive Valence,ROT,0.220737
A25,Group_A,Negative Valence,LOT,0.148477
A25,Group_A,Negative Valence,ROT,0.292271
A25,Group_A,Neutral Angry,LOT,0.423033
A25,Group_A,Neutral Angry,ROT,0.368509
B01,Group_B,Positive Valence,LOT,0.132041
B01,Group_B,Positive Valence,ROT,0.167174
B01,Group_B,Negative Valence,LOT,0.248858
B01,Group_B,Negative Valence,ROT,0.251869
B01,Group_B,Neutral Angry,LOT,0.247364
B01,Group_B,Neutral Angry,ROT,0.224777
B02,Group_B,Positive Valence,LOT,0.043814
B02,Group_B,Positive Valence,ROT,0.028605
B02,Group_B,Negative Valence,LOT,0.063376
B02,Group_B,Negative Valence,ROT,0.130266
B02,Group_B,Neutral Angry,LOT,0.078613
B02,Group_B,Neutral Angry,ROT,0.213615
B03,Group_B,Positive Valence,LOT,0.177269
B03,Group_B,Positive Valence,ROT,0.297412
B03,Group_B,Negative Valence,LOT,0.281380
B03,Group_B,Negative Valence,ROT,0.355451
B03,Group_B,Neutral Angry,LOT,0.284262
B03,Group_B,Neutral Angry,ROT,0.419962
B04,Group_B,Positive Valence,LOT,0.148981
B04,Group_B,Positive Valence,ROT,0.158489
B04,Group_B,Negative Valence,LOT,0.217132
B04,Group_B,Negative Valence,ROT,0.121781
B04,Group_B,Neutral Angry,LOT,0.275666
B04,Group_B,Neutral Angry,ROT,0.244344
B05,Group_B,Positive Valence,LOT,0.014807
B05,Group_B,Positive Valence,ROT,0.171903
B05,Group_B,Negative Valence,LOT,0.294430
B05,Group_B,Negative Valence,ROT,0.240986
B05,Group_B,Neutral Angry,LOT,0.059410
B05,Group_B,Neutral Angry,ROT,0.332452
B06,Group_B,Positive Valence,LOT,0.058915
B06,Group_B,Positive Valence,ROT,0.044319
B06,Group_B,Negative Valence,LOT,0.060445
B06,Group_B,Negative Valence,ROT,0.050325
B06,Group_B,Neutral Angry,LOT,0.171463
B06,Group_B,Neutral Angry,ROT,0.243170
B07,Group_B,Positive Valence,LOT,0.138654
B07,Group_B,Positive Valence,ROT,0.322410
B07,Group_B,Negative Valence,LOT,0.297977
B07,Group_B,Negative Valence,ROT,0.363065
B07,Group_B,Neutral Angry,LOT,0.376035
B07,Group_B,Neutral Angry,ROT,0.396237
B08,Group_B,Positive Valence,LOT,0.206620
B08,Group_B,Positive Valence,ROT,0.106750
B08,Group_B,Negative Valence,LOT,0.158108
B08,Group_B,Negative Valence,ROT,0.078443
B08,Group_B,Neutral Angry,LOT,0.356748
B08,Group_B,Neutral Angry,ROT,0.371737
B09,Group_B,Positive Valence,LOT,0.117134
B09,Group_B,Positive Valence,ROT,0.138323
B09,Group_B,Negative Valence,LOT,0.199909
B09,Group_B,Negative Valence,ROT,0.209590
B09,Group_B,Neutral Angry,LOT,0.202519
B09,Group_B,Neutral Angry,ROT,0.112433
B10,Group_B,Positive Valence,LOT,0.120856
B10,Group_B,Positive Valence,ROT,0.196299
B10,Group_B,Negative Valence,LOT,0.060268
B10,Group_B,Negative Valence,ROT,0.134794
B10,Group_B,Neutral Angry,LOT,0.253951
B10,Group_B,Neutral Angry,ROT,0.242085
B11,Group_B,Positive Valence,LOT,0.085792
B11,Group_B,Positive Valence,ROT,-0.003838
B11,Group_B,Negative Valence,LOT,-0.051461
B11,Group_B,Negative Valence,ROT,-0.002331
B11,Group_B,Neutral Angry,LOT,0.051454
B11,Group_B,Neutral Angry,ROT,-0.029737
B12,Group_B,Positive Valence,LOT,-0.025685
B12,Group_B,Positive Valence,ROT,0.075001
B12,Group_B,Negative Valence,LOT,0.117391
B12,Group_B,Negative Valence,ROT,0.135660
B12,Group_B,Neutral Angry,LOT,0.042209
B12,Group_B,Neutral Angry,ROT,0.275365
B13,Group_B,Positive Valence,LOT,0.133499
B13,Group_B,Positive Valence,ROT,0.278920
B13,Group_B,Negative Valence,LOT,0.362751
B13,Group_B,Negative Valence,ROT,0.384989
B13,Group_B,Neutral Angry,LOT,0.326470
B13,Group_B,Neutral Angry,ROT,0.435417
B14,Group_B,Positive Valence,LOT,0.281869
B14,Group_B,Positive Valence,ROT,0.283195
B14,Group_B,Negative Valence,LOT,0.233899
B14,Group_B,Negative Valence,ROT,0.327967
B14,Group_B,Neutral Angry,LOT,0.167461
B14,Group_B,Neutral Angry,ROT,0.260858
B15,Group_B,Positive Valence,LOT,0.061018
B15,Group_B,Positive Valence,ROT,0.167666
B15,Group_B,Negative Valence,LOT,0.242967
B15,Group_B,Negative Valence,ROT,0.351590
B15,Group_B,Neutral Angry,LOT,0.159445
B15,Group_B,Neutral Angry,ROT,0.300674
B16,Group_B,Positive Valence,LOT,0.158411
B16,Group_B,Positive Valence,ROT,0.197158
B16,Group_B,Negative Valence,LOT,0.184397
B16,Group_B,Negative Valence,ROT,0.239329
B16,Group_B,Neutral Angry,LOT,0.276764
B16,Group_B,Neutral Angry,ROT,0.317147
B17,Group_B,Positive Valence,LOT,0.033969
B17,Group_B,Positive Valence,ROT,-0.041197
B17,Group_B,Negative Valence,LOT,0.207542
B17,Group_B,Negative Valence,ROT,0.040968
B17,Group_B,Neutral Angry,LOT,0.255582
B17,Group_B,Neutral Angry,ROT,0.215423
B18,Group_B,Positive Valence,LOT,0.120033
B18,Group_B,Positive Valence,ROT,0.109286
B18,Group_B,Negative Valence,LOT,0.061032
B18,Group_B,Negative Valence,ROT,0.194096
B18,Group_B,Neutral Angry,LOT,0.211132
B18,Group_B,Neutral Angry,ROT,0.298933
B19,Group_B,Positive Valence,LOT,0.055500
B19,Group_B,Positive Valence,ROT,0.043891
B19,Group_B,Negative Valence,LOT,0.211599
B19,Group_B,Negative Valence,ROT,0.200494
B19,Group_B,Neutral Angry,LOT,0.295255
B19,Group_B,Neutral Angry,ROT,0.262750
B20,Group_B,Positive Valence,LOT,0.027519
B20,Group_B,Positive Valence,ROT,0.020833
B20,Group_B,Negative Valence,LOT,0.118179
B20,Group_B,Negative Valence,ROT,0.145574
B20,Group_B,Neutral Angry,LOT,0.052695
B20,Group_B,Neutral Angry,ROT,0.146429
B21,Group_B,Positive Valence,LOT,0.145919
B21,Group_B,Positive Valence,ROT,0.135829
B21,Group_B,Negative Valence,LOT,0.181240
B21,Group_B,Negative Valence,ROT,0.275224
B21,Group_B,Neutral Angry,LOT,0.240914
B21,Group_B,Neutral Angry,ROT,0.306226
B22,Group_B,Positive Valence,LOT,0.070849
B22,Group_B,Positive Valence,ROT,0.138476
B22,Group_B,Negative Valence,LOT,0.177438
B22,Group_B,Negative Valence,ROT,0.278457
B22,Group_B,Neutral Angry,LOT,0.188795
B22,Group_B,Neutral Angry,ROT,0.245024
B23,Group_B,Positive Valence,LOT,0.098024
B23,Group_B,Positive Valence,ROT,0.179732
B23,Group_B,Negative Valence,LOT,0.179822
B23,Group_B,Negative Valence,ROT,0.376589
B23,Group_B,Neutral Angry,LOT,0.317323
B23,Group_B,Neutral Angry,ROT,0.356089
B24,Group_B,Positive Valence,LOT,0.121343
B24,Group_B,Positive Valence,ROT,0.082063
B24,Group_B,Negative Valence,LOT,0.130274
B24,Group_B,Negative Valence,ROT,0.033107
B24,Group_B,Neutral Angry,LOT,0.141830
B24,Group_B,Neutral Angry,ROT,0.166555
B25,Group_B,Positive Valence,LOT,0.259344
B25,Group_B,Positive Valence,ROT,0.093818
B25,Group_B,Negative Valence,LOT,0.205473
B25,Group_B,Negative Valence,ROT,0.237634
B25,Group_B,Neutral Angry,LOT,0.413038
B25,Group_B,Neutral Angry,ROT,0.445069
