participant,group,condition,roi,bca_uv,,Group A neg valence mean,Group B negative valence mean,
A22,Group_A,Neutral Angry,Occipital,0.550506,,,,
A23,Group_A,Neutral Angry,Occipital,0.539628,,,,
A24,Group_A,Neutral Angry,Occipital,0.304354,,,,
A25,Group_A,Neutral Angry,Occipital,0.374356,,,,
B01,Group_B,Neutral Angry,Occipital,0.258966,,,,
B02,Group_B,Neutral Angry,Occipital,0.064072,,,,
B03,Group_B,Neutral Angry,Occipital,-0.07576,,,,
B04,Group_B,Neutral Angry,Occipital,0.162606,,,,
B05,Group_B,Neutral Angry,Occipital,0.166709,,,,
B06,Group_B,Neutral Angry,Occipital,0.289652,,,,
B07,Group_B,Neutral Angry,Occipital,0.346027,,,,
B08,Group_B,Neutral Angry,Occipital,0.310327,,,,
B09,Group_B,Neutral Angry,Occipital,0.317899,,,,
B10,Group_B,Neutral Angry,Occipital,0.004087,,,,
B11,Group_B,Neutral Angry,Occipital,0.223959,,,,
B12,Group_B,Neutral Angry,Occipital,0.240714,,,,
B13,Group_B,Neutral Angry,Occipital,0.099612,,,,
B14,Group_B,Neutral Angry,Occipital,0.347198,,,,
B15,Group_B,Neutral Angry,Occipital,0.237307,,,,
B16,Group_B,Neutral Angry,Occipital,0.187233,,,,
B17,Group_B,Neutral Angry,Occipital,0.432662,,,,
B18,Group_B,Neutral Angry,Occipital,0.151228,,,,
B19,Group_B,Neutral Angry,Occipital,0.239258,,,,
B20,Group_B,Neutral Angry,Occipital,0.168381,,,,
B21,Group_B,Neutral Angry,Occipital,0.27525,,,,
B22,Group_B,Neutral Angry,Occipital,-0.015292,,,,
B23,Group_B,Neutral Angry,Occipital,0.144243,,,,
B24,Group_B,Neutral Angry,Occipital,0.158778,,,,
B25,Group_B,Neutral Angry,Occipital,0.19891,,,,
A01,Group_A,Positive Valence,Occipital,0.427719,,,,
A02,Group_A,Positive Valence,Occipital,0.117747,,,,
A03,Group_A,Positive Valence,Occipital,0.113058,,,,
A04,Group_A,Positive Valence,Occipital,0.242448,,,,
A05,Group_A,Positive Valence,Occipital,0.199446,,,,
A06,Group_A,Positive Valence,Occipital,0.215958,,,,
A07,Group_A,Positive Valence,Occipital,0.142742,,,,
A08,Group_A,Positive Valence,Occipital,0.099516,,,,
A09,Group_A,Positive Valence,Occipital,-0.080375,,,,
A10,Group_A,Positive Valence,Occipital,0.187997,,,,
A11,Group_A,Positive Valence,Occipital,0.265952,,,,
A12,Group_A,Positive Valence,Occipital,0.061493,,,,
A13,Group_A,Positive Valence,Occipital,-0.022075,,,,
A14,Group_A,Positive Valence,Occipital,0.273808,,,,
A15,Group_A,Positive Valence,Occipital,0.131621,,,,
A16,Group_A,Positive Valence,Occipital,0.40007,,,,
A17,Group_A,Positive Valence,Occipital,-0.088134,,,,
A18,Group_A,Positive Valence,Occipital,0.257439,,,,
A19,Group_A,Positive Valence,Occipital,0.177375,,,,
A20,Group_A,Positive Valence,Occipital,0.201301,,,,
A21,Group_A,Positive Valence,Occipital,-0.002444,,,,
A22,Group_A,Positive Valence,Occipital,0.252147,,,,
A23,Group_A,Positive Valence,Occipital,0.285542,,,,
A24,Group_A,Positive Valence,Occipital,-0.010552,,,,
A25,Group_A,Positive Valence,Occipital,0.168117,,,,
B01,Group_B,Positive Valence,Occipital,0.118838,,,,
B02,Group_B,Positive Valence,Occipital,0.127272,,,,
B03,Group_B,Positive Valence,Occipital,-0.008031,,,,
B04,Group_B,Positive Valence,Occipital,0.128277,,,,
B05,Group_B,Positive Valence,Occipital,0.040131,,,,
B06,Group_B,Positive Valence,Occipital,0.250047,,,,
B07,Group_B,Positive Valence,Occipital,0.127656,,,,
B08,Group_B,Positive Valence,Occipital,0.195305,,,,
B09,Group_B,Positive Valence,Occipital,0.295429,,,,
B10,Group_B,Positive Valence,Occipital,0.083334,,,,
B11,Group_B,Positive Valence,Occipital,0.066796,,,,
B12,Group_B,Positive Valence,Occipital,0.209776,,,,
B13,Group_B,Positive Valence,Occipital,0.032915,,,,
B14,Group_B,Positive Valence,Occipital,0.270208,,,,
B15,Group_B,Positive Valence,Occipital,0.127578,,,,
B16,Group_B,Positive Valence,Occipital,0.100151,,,,
B17,Group_B,Positive Valence,Occipital,0.339678,,,,
B18,Group_B,Positive Valence,Occipital,-0.022644,,,,
B19,Group_B,Positive Valence,Occipital,0.032731,,,,
B20,Group_B,Positive Valence,Occipital,0.083746,,,,
B21,Group_B,Positive Valence,Occipital,0.186327,,,,
B22,Group_B,Positive Valence,Occipital,-0.090523,,,,
B23,Group_B,Positive Valence,Occipital,0.020187,,,,
B24,Group_B,Positive Valence,Occipital,0.081355,,,,
B25,Group_B,Positive Valence,Occipital,-0.036215,,,,
